<<<<<<< HEAD
idutente,idopera,valutazione
1,27,5
1,28,1
1,29,1
1,30,5
1,31,5
1,32,1
1,33,1
1,34,1
1,35,5
1,36,2
1,37,2
1,38,1
1,39,5
1,40,4
1,41,1
1,42,5
1,43,3
1,44,4
1,45,2
1,46,3
1,47,1
1,48,4
1,49,4
1,50,1
2,1,2
2,2,5
2,3,1
2,4,1
2,5,5
2,6,5
2,7,1
2,8,5
2,9,3
2,10,2
2,11,1
2,12,5
2,13,5
2,14,2
2,15,5
2,16,3
2,17,3
2,18,5
2,19,1
2,20,2
2,21,5
2,22,1
2,23,3
2,24,4
2,25,3
2,26,3
2,27,4
2,28,4
2,29,1
2,30,1
2,31,5
2,32,5
2,33,1
2,34,2
2,35,2
2,36,5
2,37,4
2,38,4
2,39,4
2,40,4
2,41,4
2,42,2
2,43,5
2,44,5
2,45,4
2,46,3
2,47,5
2,48,2
2,49,4
2,50,4
3,1,1
3,2,1
3,3,3
3,4,2
3,5,1
3,6,5
3,7,4
3,8,2
3,9,2
3,10,2
3,11,5
3,12,3
3,13,4
3,14,1
3,15,5
3,16,3
3,17,2
3,18,2
3,19,3
3,20,4
3,21,1
3,22,4
3,23,2
3,24,3
3,25,4
3,26,5
3,27,5
3,28,1
3,29,1
3,30,1
3,31,5
3,32,3
3,33,2
3,34,5
3,35,2
3,36,2
3,37,2
3,38,4
3,39,1
3,40,2
3,41,3
3,42,5
3,43,4
3,44,2
3,45,1
3,46,5
3,47,1
3,48,2
3,49,3
3,50,2
4,1,3
4,2,1
4,3,1
4,4,1
4,5,4
4,6,3
4,7,4
4,8,2
4,9,1
4,10,1
4,11,2
4,12,4
4,13,5
4,14,2
4,15,5
4,16,4
4,17,4
4,18,2
4,19,1
4,20,5
4,21,2
4,22,2
4,23,2
4,24,4
4,25,4
4,26,1
4,27,3
4,28,3
4,29,3
4,30,4
4,31,3
4,32,3
4,33,4
4,34,5
4,35,5
4,36,2
4,37,2
4,38,3
4,39,3
4,40,4
4,41,2
4,42,5
4,43,5
4,44,4
4,45,2
4,46,2
4,47,2
4,48,5
4,49,3
4,50,1
5,1,1
5,2,1
5,3,4
5,4,1
5,5,4
5,6,5
5,7,3
5,8,3
5,9,4
5,10,5
5,11,3
5,12,5
5,13,1
5,14,1
5,15,3
5,16,2
5,17,4
5,18,4
5,19,2
5,20,3
5,21,2
5,22,2
5,23,4
5,24,1
5,25,4
5,26,3
5,27,5
5,28,3
5,29,3
5,30,4
5,31,3
5,32,2
5,33,4
5,34,5
5,35,3
5,36,3
5,37,3
5,38,2
5,39,2
5,40,1
5,41,3
5,42,4
5,43,5
5,44,1
5,45,2
5,46,1
5,47,2
5,48,3
5,49,5
5,50,5
6,1,1
6,2,4
6,3,4
6,4,2
6,5,5
6,6,3
6,7,1
6,8,4
6,9,3
6,10,3
6,11,5
6,12,3
6,13,3
6,14,2
6,15,1
6,16,2
6,17,2
6,18,2
6,19,1
6,20,3
6,21,2
6,22,1
6,23,2
6,24,1
6,25,2
6,26,4
6,27,1
6,28,5
6,29,1
6,30,1
6,31,5
6,32,4
6,33,5
6,34,5
6,35,1
6,36,3
6,37,3
6,38,5
6,39,4
6,40,4
6,41,5
6,42,2
6,43,1
6,44,1
6,45,2
6,46,5
6,47,3
6,48,5
6,49,4
6,50,4
7,1,5
7,2,5
7,3,1
7,4,2
7,5,4
7,6,5
7,7,2
7,8,2
7,9,4
7,10,5
7,11,4
7,12,4
7,13,4
7,14,2
7,15,5
7,16,2
7,17,3
7,18,4
7,19,2
7,20,1
7,21,1
7,22,4
7,23,3
7,24,5
7,25,5
7,26,2
7,27,5
7,28,4
7,29,5
7,30,4
7,31,3
7,32,3
7,33,4
7,34,2
7,35,1
7,36,4
7,37,1
7,38,3
7,39,2
7,40,1
7,41,5
7,42,3
7,43,3
7,44,4
7,45,4
7,46,4
7,47,4
7,48,1
7,49,4
7,50,1
8,1,4
8,2,2
8,3,1
8,4,2
8,5,4
8,6,3
8,7,5
8,8,2
8,9,5
8,10,2
8,11,1
8,12,5
8,13,5
8,14,1
8,15,2
8,16,2
8,17,1
8,18,3
8,19,5
8,20,5
8,21,3
8,22,2
8,23,4
8,24,1
8,25,5
8,26,5
8,27,3
8,28,2
8,29,3
8,30,5
8,31,4
8,32,1
8,33,2
8,34,2
8,35,4
8,36,3
8,37,1
8,38,2
8,39,5
8,40,4
8,41,5
8,42,1
8,43,2
8,44,4
8,45,2
8,46,1
8,47,1
8,48,1
8,49,1
8,50,2
9,1,1
9,2,2
9,3,5
9,4,3
9,5,1
9,6,4
9,7,1
9,8,5
9,9,4
9,10,3
9,11,1
9,12,4
9,13,1
9,14,4
9,15,4
9,16,3
9,17,5
9,18,5
9,19,3
9,20,5
9,21,1
9,22,3
9,23,4
9,24,3
9,25,4
9,26,3
9,27,4
9,28,1
9,29,4
9,30,5
9,31,1
9,32,1
9,33,1
9,34,3
9,35,5
9,36,1
9,37,5
9,38,2
9,39,2
9,40,1
9,41,5
9,42,3
9,43,2
9,44,3
9,45,5
9,46,2
9,47,5
9,48,2
9,49,5
9,50,2
10,1,3
10,2,2
10,3,5
10,4,5
10,5,2
10,6,1
10,7,4
10,8,2
10,9,1
10,10,4
10,11,3
10,12,5
10,13,1
10,14,4
10,15,1
10,16,2
10,17,5
10,18,2
10,19,4
10,20,5
10,21,2
10,22,1
10,23,5
10,24,2
10,25,4
10,26,5
10,27,2
10,28,2
10,29,3
10,30,3
10,31,5
10,32,5
10,33,5
10,34,3
10,35,4
10,36,5
10,37,2
10,38,2
10,39,1
10,40,3
10,41,4
10,42,1
10,43,2
10,44,4
10,45,2
10,46,2
10,47,4
10,48,5
10,49,2
10,50,4
>>>>>>> 57bd5057fe71bb0d0c4aa5aa5a45360c82b8306d
